"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
63, 2.825500071050000e-01, -5.994005483718394e-02, 7.229917844419878e+04, -6.394254158251650e-01, 1.099948098086754e+00
64, 2.684499919410000e-01, -5.977765596976551e-02, 7.276359512916976e+04, -6.291945311856790e-01, 1.094682642182788e+00
65, 2.545700073240000e-01, -5.951657836311273e-02, 7.319728317625250e+04, -6.196405842177640e-01, 1.089848603166242e+00
66, 2.409400045870000e-01, -5.915585896897953e-02, 7.365734233599567e+04, -6.095056938423992e-01, 1.084745600982524e+00
67, 2.275699973110000e-01, -5.869456802648413e-02, 7.417632829073031e+04, -5.980726734444874e-01, 1.078969671143677e+00
68, 2.144699990750000e-01, -5.813197420944613e-02, 7.474978598938127e+04, -5.854396657374327e-01, 1.072624375980187e+00
69, 2.016600072380000e-01, -5.746811193675738e-02, 7.536295091322401e+04, -5.719319262357687e-01, 1.065854689309435e+00
70, 1.891400069000000e-01, -5.670228146432130e-02, 7.601872257441255e+04, -5.574855800286262e-01, 1.058658899952782e+00
71, 1.769299954180000e-01, -5.583513598033686e-02, 7.674312168957623e+04, -5.415274027709580e-01, 1.050734208353495e+00
72, 1.650400012730000e-01, -5.486709202536137e-02, 7.756498160061985e+04, -5.234222092845718e-01, 1.041787486699452e+00
73, 1.534900069240000e-01, -5.379977779145956e-02, 7.848548596033083e+04, -5.031439242463511e-01, 1.031808615435043e+00
74, 1.422899961470000e-01, -5.263443049277360e-02, 7.948360339451591e+04, -4.811558590965264e-01, 1.021069930460427e+00
75, 1.314399987460000e-01, -5.137133628795417e-02, 8.053935640057108e+04, -4.578981089719457e-01, 1.009740502745066e+00
76, 1.209499984980000e-01, -5.001187382363489e-02, 8.165922297800204e+04, -4.332279665414938e-01, 9.978339975055802e-01
77, 1.108499988910000e-01, -4.856066993422563e-02, 8.286846288948315e+04, -4.065889709235849e-01, 9.851004419755782e-01
78, 1.011300012470000e-01, -4.701715290498424e-02, 8.417679967173189e+04, -3.777669171043518e-01, 9.713452030486587e-01
79, 9.181000292300000e-02, -4.538527151431038e-02, 8.558754622712209e+04, -3.466888233776988e-01, 9.565498166271615e-01
80, 8.290000259900000e-02, -4.366791468532204e-02, 8.711120496427661e+04, -3.131233265421423e-01, 9.407039933809428e-01
81, 7.440000027400000e-02, -4.186607976498817e-02, 8.875612197380180e+04, -2.768865660841661e-01, 9.236775562842571e-01
82, 6.633000075800000e-02, -3.998513962421356e-02, 9.053988088859638e+04, -2.375911827086553e-01, 9.053349048370202e-01
83, 5.869000032500000e-02, -3.802635805630503e-02, 9.247825450729928e+04, -1.948897089611910e-01, 8.854928079987092e-01
84, 5.149000138000000e-02, -3.599337852580232e-02, 9.459675395847604e+04, -1.482201464859355e-01, 8.638850073251769e-01
85, 4.473999887700000e-02, -3.389028465845557e-02, 9.693359600430676e+04, -9.674059769864558e-02, 8.400924153546191e-01
86, 3.844000026600000e-02, -3.171811260404538e-02, 9.952105672807500e+04, -3.974003542184368e-02, 8.137419698424077e-01
87, 3.260000050100000e-02, -2.948109446637338e-02, 1.024066946608578e+05, 2.382923277417553e-02, 7.844049110280946e-01
88, 2.723000012300000e-02, -2.718419978786347e-02, 1.056595072543326e+05, 9.548718881808435e-02, 7.513331829776434e-01
